gcc_country,dest_country,cmdCode,commodity,opportunity_score,opportunity_rationale,demand_4y_total,demand_yr1,penetration_pct,pen_opportunity,viability_score,grade,ml_growth_prob,uv_mean,uv_cagr,mfn_tariff_rate,lpi_score,dist_km,weighted_dist_km,landing_cost_n,reexport_filter_method
Saudi Arabia,United Arab Emirates,3707,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or for retail sale",0.5761019926038107,"low GCC penetration (high entry room) | rising prices (+36%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",146888900.15413824,46546785.90733644,7.57,1.0,0.8436250000000002,A,0.5,14.163245711571435,35.58,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Saudi Arabia,United Arab Emirates,4203,"Articles of apparel and clothing accessories, of leather or of composition leather",0.5757449517798169,"low GCC penetration (high entry room) | rising prices (+32%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",126248976.20117238,31757029.497960646,5.38,1.0,0.8436250000000002,A,0.5,34.15435866425246,32.46,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Saudi Arabia,United Arab Emirates,8608,"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields; parts thereof",0.5752650488178512,"low GCC penetration (high entry room) | rising prices (+22%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",25464560.143065963,7360747.37553701,4.38,1.0,0.8436250000000002,A,0.5070781509081522,26.899114958042563,22.5,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Bahrain,United Arab Emirates,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0.5751779739919107,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.5x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",92898144.76350905,23323787.097914465,7.77,1.0,0.8436250000000002,A,0.5281964639822642,4.941092133039273,3.22,4.801974286720676,4.0,426.25749275648013,639.3862391347202,0.9341914436085781,filtered
Oman,United Arab Emirates,3809,"Finishing agents, dye carriers to accelerate the dyeing, fixing of dyestuffs, other products and preparations, of a kind used in the textile, paper, leather or like industries, n.e.c. or included",0.5749902644066085,"low GCC penetration (high entry room) | rising prices (+12%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",43672478.87131879,11346279.718347467,3.67,1.0,0.8436250000000002,A,0.5041085183620453,1.8234232153729268,12.05,4.801974286720676,4.0,438.48270370145906,438.48270370145906,0.9390259118568972,filtered
Saudi Arabia,United Arab Emirates,3922,"Sanitary ware; baths, shower-baths, sinks, wash-basins, bidets, lavatory pans, seats and covers, flushing cisterns and sanitary ware, of plastics",0.5745015561382024,"low GCC penetration (high entry room) | rising prices (+23%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",174307109.12591985,44939730.93732883,6.36,1.0,0.8436250000000002,A,0.5,6.743216150461426,22.57,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Oman,United Arab Emirates,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",0.5744550256150108,"low GCC penetration (high entry room) | rising prices (+18%/yr) | stable market (A grade) | proximity advantage (1.5x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",29851328.156889908,6997203.9229887985,4.47,1.0,0.8436250000000002,A,0.493717888991038,1.581993517562523,17.61,4.801974286720676,4.0,438.48270370145906,657.7240555521886,0.936554999032728,filtered
Qatar,United Arab Emirates,6913,Statuettes and other ornamental ceramic articles,0.5736511349536416,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",39403507.50544278,9813092.5843211,3.7,1.0,0.8436250000000002,A,0.4981829623381297,10.374797249522487,6.0,4.801974286720676,4.0,303.6592641976991,303.6592641976991,0.9381099361564909,filtered
Saudi Arabia,United Arab Emirates,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",0.5733527371706372,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",35361408.157988586,8850701.966783982,7.64,1.0,0.8436250000000002,A,0.5,1.8710416158920082,13.73,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Oman,United Arab Emirates,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",0.5732429834911192,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.5x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",70172961.85122895,18033795.433370758,5.46,1.0,0.8436250000000002,A,0.5,0.9890448819505313,7.03,4.801974286720676,4.0,438.48270370145906,657.7240555521886,0.936554999032728,filtered
Kuwait,United Arab Emirates,6401,"Footwear; waterproof, with outer soles and uppers of rubber or plastics, (uppers not fixed to the sole nor assembled by stitch, rivet, nail, screw, plug or similar)",0.5728264255543989,"low GCC penetration (high entry room) | rising prices (+13%/yr) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",25866569.63518803,6938147.703844339,3.5,1.0,0.8436250000000002,A,0.5,14.835571423172961,12.95,4.801974286720676,4.0,834.9841841789903,1043.7302302237379,0.9317376155125258,filtered
Saudi Arabia,United Arab Emirates,1102,Cereal flours; other than of wheat or meslin,0.5727695132572705,"low GCC penetration (high entry room) | rising prices (+9%/yr) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",37636104.0515839,8824290.794375818,6.04,1.0,0.8436250000000002,A,0.5,0.848978190366306,8.99,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Bahrain,United Arab Emirates,8206,"Tools, hand; two or more of heading no. 8202 to 8205, put up in sets for retail sale",0.5723051072003899,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",65078117.55356738,17206400.551077444,6.62,1.0,0.8436250000000002,A,0.5,29.440211358108918,2.35,4.801974286720676,4.0,426.25749275648013,426.25749275648013,0.9366746681782375,filtered
Saudi Arabia,United Arab Emirates,8206,"Tools, hand; two or more of heading no. 8202 to 8205, put up in sets for retail sale",0.5720135969859104,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",65078117.55356738,17206400.551077444,4.43,1.0,0.8436250000000002,A,0.5,29.440211358108918,2.35,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Kuwait,United Arab Emirates,8206,"Tools, hand; two or more of heading no. 8202 to 8205, put up in sets for retail sale",0.571935761811131,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",65078117.55356738,17206400.551077444,4.2,1.0,0.8436250000000002,A,0.5,29.440211358108918,2.35,4.801974286720676,4.0,834.9841841789903,834.9841841789903,0.9342123654024798,filtered
Saudi Arabia,United Arab Emirates,2804,"Hydrogen, rare gases and other non-metals",0.5717670669670157,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",300313502.6408678,77552603.86253639,4.36,1.0,0.8436250000000002,A,0.5,0.4396978540831372,-1.6,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Qatar,United Arab Emirates,7418,"Copper; table, kitchen or other household articles and parts thereof; pot scourers, scouring, polishing pads, gloves and the like; sanitary ware and parts thereof",0.5716862883522231,"low GCC penetration (high entry room) | rising prices (+48%/yr) | stable market (A grade) | proximity advantage (0.7x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",39795129.07074782,9626589.607784893,4.11,1.0,0.8436250000000002,A,0.3945799171924591,14.98624025787211,48.32,4.801974286720676,4.0,303.6592641976991,212.56148493838936,0.9391683241552297,filtered
Saudi Arabia,United Arab Emirates,8459,"Machine-tools; (including way-type unit head machines) for drilling, boring, milling, threading or tapping by removing metal, other than lathes of heading no. 8458",0.5714835147696189,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",45380749.562549815,12486091.721969783,16.9,1.0,0.8436250000000002,A,0.5,6.709348099999877,1.28,4.801974286720676,4.0,773.8595781115821,967.3244726394776,0.9323856097008569,filtered
Saudi Arabia,United Arab Emirates,8514,Industrial or laboratory electric furnaces and ovens (including those functioning by induction or dielectric loss); other industrial or laboratory equipment for the heat treatment of materials by induction or dielectric loss,0.5713595364860666,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",63347329.21764845,16372897.162366273,16.47,1.0,0.8436250000000002,A,0.5,21.984810293636034,-0.04,4.801974286720676,4.0,773.8595781115821,967.3244726394776,0.9323856097008569,filtered
Saudi Arabia,United Arab Emirates,8441,"Machines; for making up paper pulp, paper or paperboard, including cutting machines of all kinds",0.5708152735123136,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",82524972.6179471,20680802.66089398,17.67,1.0,0.8436250000000002,A,0.47943859299023944,12.849226367230735,14.45,4.801974286720676,4.0,773.8595781115821,967.3244726394776,0.9323856097008569,filtered
Oman,Singapore,7007,"Safety glass, consisting of toughened (tempered) or laminated glass",0.5707350633623467,"low GCC penetration (high entry room) | stable market (A grade) | low landing cost (tariff 0.0%, LPI 4.3)",66998747.71193689,17501883.50595358,4.18,1.0,0.887875,A,0.35483186443646747,3.03467890199678,-4.72,0.0,4.3,5463.8922282930225,5463.8922282930225,0.941879647535436,filtered
Kuwait,United Arab Emirates,8441,"Machines; for making up paper pulp, paper or paperboard, including cutting machines of all kinds",0.570718074384064,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",82524972.6179471,20680802.66089398,4.66,1.0,0.8436250000000002,A,0.47943859299023944,12.849226367230735,14.45,4.801974286720676,4.0,834.9841841789903,1043.7302302237379,0.9317376155125258,filtered
Qatar,United Arab Emirates,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",0.5704498366755298,"low GCC penetration (high entry room) | rising prices (+33%/yr) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",87983821.71525815,21669320.797922388,4.82,1.0,0.8436250000000002,A,0.4149763484795888,24.958605023161383,33.18,4.801974286720676,4.0,303.6592641976991,379.57408024712385,0.9372279461575419,filtered
Saudi Arabia,United Arab Emirates,2207,"Ethyl alcohol, undenatured; of an alcoholic strength by volume of 80% vol. or higher; ethyl alcohol and other spirits, denatured, of any strength",0.5704240330851685,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",119509392.19172955,28896503.68986857,4.53,1.0,0.8436250000000002,A,0.48867133259773254,1.1422768714605667,-5.27,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Kuwait,United Arab Emirates,8901,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods",0.5691652536807401,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",278857924.07167584,68060622.73536217,4.43,1.0,0.8436250000000002,A,0.47759920358657837,1.9434183709152533,-8.04,4.801974286720676,4.0,834.9841841789903,834.9841841789903,0.9342123654024798,filtered
Saudi Arabia,United Arab Emirates,9028,"Gas, liquid or electricity supply or production meters, including calibrating meters therefor",0.5689816978347614,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",118595671.24869287,28329093.917798355,4.79,1.0,0.8436250000000002,A,0.47184401750564575,41.43718423866494,5.96,4.801974286720676,4.0,773.8595781115821,967.3244726394776,0.9323856097008569,filtered
Oman,United Arab Emirates,7205,"Granules and powders, of pig iron, spiegeleisen, iron or steel",0.5687119704494042,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (0.7x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",34102477.46850813,8970452.732168164,3.66,1.0,0.8436250000000002,A,0.4630663990974426,0.6814056391689509,1.79,4.801974286720676,4.0,438.48270370145906,306.9378925910213,0.9405084595513988,filtered
Saudi Arabia,United Arab Emirates,7412,"Copper; tube or pipe fittings (e.g. couplings, elbows, sleeves)",0.5686082548417195,"low GCC penetration (high entry room) | rising prices (+26%/yr) | stable market (A grade) | proximity advantage (0.7x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",75151648.78517121,18492457.466232255,3.79,1.0,0.8436250000000002,A,0.4398922026157379,21.675127870299164,26.27,4.801974286720676,4.0,773.8595781115821,541.7017046781074,0.9375460548078575,filtered
Saudi Arabia,United Arab Emirates,4822,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard (whether or not perforated or hardened)",0.5682532942890065,"low GCC penetration (high entry room) | stable market (A grade) | proximity advantage (1.0x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",37348198.18082532,8935911.166651232,10.73,1.0,0.8436250000000002,A,0.4641675551732381,1.4039347974704675,5.01,4.801974286720676,4.0,773.8595781115821,773.8595781115821,0.9347312665676754,filtered
Bahrain,United Arab Emirates,8466,"Parts & accessories suited for use only/mainly with machines of headings 8456-8465, including work/tool holders, self-opening dieheads, dividing heads & other special attachments for the machines; tool holders for any type of tool for working in the hand",0.568188228927565,"low GCC penetration (high entry room) | rising prices (+15%/yr) | stable market (A grade) | proximity advantage (1.2x sensitivity) | low landing cost (tariff 4.8%, LPI 4.0)",133209512.11235231,36705552.24936134,11.44,1.0,0.8436250000000002,A,0.4515185554822286,23.698450078048342,14.58,4.801974286720676,4.0,426.25749275648013,532.8218659456002,0.9354330558934079,filtered
