year,total_gcc_exports,total_demand
2015,149681117446.628,11627977252042.332
2016,134843711847.219,11428494173847.658
2017,182120700337.95,12497735012723.145
2018,222608291981.172,13514704614928.207
2019,222441767969.73,13259689906873.826
2020,204169948346.535,12824949345724.05
2021,266064208185.357,15668816183070.79
2022,312128902445.709,16839672242890.402
2023,297416218838.283,16461799182845.266
2024,130035390512.694,16321813994092.72
