country,cmdCode,ml_growth_prob
Australia,0101,0.32789612809817
Australia,0102,0.8287079731623331
Australia,0104,0.5258994102478027
Australia,0105,0.3865625162919362
Australia,0106,0.3802103598912557
Australia,0203,0.5914381742477417
Australia,0204,0.2850630035003026
Australia,0205,0.5842651128768921
Australia,0207,0.4400206208229065
Australia,0209,0.3865625162919362
Australia,0210,0.4278734127680461
Australia,0301,0.5762663086255392
Australia,0302,0.39564285675684613
Australia,0303,0.36571844418843585
Australia,0304,0.55791707833608
Australia,0305,0.40256516138712567
Australia,0306,0.2923206885655721
Australia,0307,0.32532663146654767
Australia,0401,0.2595430016517639
Australia,0402,0.30881579717000324
Australia,0403,0.35708882411321
Australia,0404,0.48416993021965027
Australia,0405,0.4020516375700633
Australia,0406,0.286945919195811
Australia,0408,0.5673066178957621
Australia,0409,0.5948344866434733
Australia,0410,0.41151828567186993
Australia,0501,0.5285319487253824
Australia,0505,0.4446595807870229
Australia,0506,0.5107578237851461
Australia,0507,0.593759298324585
Australia,0510,0.5591560403505961
Australia,0511,0.38998759786287945
Australia,0601,0.4351651072502136
Australia,0602,0.40544624129931134
Australia,0603,0.4780622323354085
Australia,0604,0.41245415806770325
Australia,0702,0.41421571373939514
Australia,0703,0.6066010395685831
Australia,0704,0.5476470987002054
Australia,0705,0.5285001595815023
Australia,0706,0.3589911659558614
Australia,0707,0.4813183943430583
Australia,0708,0.5690997640291849
Australia,0710,0.4830983579158783
Australia,0711,0.426765501499176
Australia,0712,0.5190268953641256
Australia,0713,0.30938223004341125
Australia,0714,0.6352653702100118
Australia,0801,0.40856724977493286
Australia,0802,0.3450426558653514
Australia,0803,0.5863136251767477
Australia,0804,0.4424900412559509
Australia,0805,0.4066878358523051
Australia,0806,0.8662246664365133
Australia,0807,0.4183953007062276
Australia,0808,0.4414677321910858
Australia,0809,0.502813716729482
Australia,0810,0.4316534996032715
Australia,0811,0.6243152419726054
Australia,0812,0.4122220079104106
Australia,0814,0.40436192353566486
Australia,0901,0.46919699509938556
Australia,0902,0.4180932442347209
Australia,0903,0.2459538827339808
Australia,0905,0.5815202196439108
Australia,0906,0.38414934277534485
Australia,0908,0.6052823464075724
Australia,0910,0.40278639396031696
Australia,1001,0.38519713282585144
Australia,1002,0.41151828567186993
Australia,1004,0.4767103393872579
Australia,1006,0.37714142600695294
Australia,1007,0.34694887200991315
Australia,1008,0.5752447843551636
Australia,1102,0.5587387879689535
Australia,1103,0.3613433639208476
Australia,1104,0.5903660655021667
Australia,1105,0.6541982690493265
Australia,1106,0.5967153708140055
Australia,1109,0.35859959324200946
Australia,1201,0.36053839325904846
Australia,1202,0.496736615896225
Australia,1203,0.6451855301856995
Australia,1204,0.3675679961840312
Australia,1205,0.5161529878775278
Australia,1208,0.3986782431602478
Australia,1209,0.43377575278282166
Australia,1210,0.5370408892631531
Australia,1212,0.5241663257280985
