dest_country,cmdCode,commodity,demand_4y_total,demand_yr1,gcc_2023_exp,uv_mean,uv_cagr,viability_score,grade,penetration_pct,is_saturated,ml_growth_prob,imp_exp_ratio,pen_opportunity,dist_km,dist_sensitivity,weighted_dist_km,hs2,lpi_score,mfn_tariff_rate,demand_4y_total_n,uv_mean_n,viability_score_n,pen_opportunity_n,ml_growth_prob_n,uv_cagr_pos,uv_cagr_n,lpi_n,tariff_n_inv,dist_n_inv,landing_cost_n,opportunity_score,opportunity_rationale,gcc_country,recommended_transport,transport_rationale
Sweden,8411,"Turbo-jets, turbo-propellers and other gas turbines",10541727036.357533,2124543148.3035133,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.46776562309704245,0.999999996438682,0.979,4453.034303288559,1.25,5566.292879110699,84,4.0,1.7803903345724907,0.010401971352655819,0.999999999998364,0.99999999875,0.9521963783281809,0.3630620444385343,32.87,0.9999999999695772,0.7857142851530613,0.9953583864648138,0.7451126881692605,0.859421526431812,0.6582592016613982,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 1.8%, LPI 4.0)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Japan,8411,"Turbo-jets, turbo-propellers and other gas turbines",20385232681.3132,4847243712.237181,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.5105384112419007,0.999999996438682,0.979,8274.580008593974,1.25,10343.225010742466,84,3.9,0.0,0.02011498229356045,0.999999999998364,0.99999999875,0.9521963783281809,0.4337890432794724,32.87,0.9999999999695772,0.7142857137755102,1.0,0.5224830253304105,0.7806207561540311,0.655940038739051,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 0.0%, LPI 3.9)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Belgium,8411,"Turbo-jets, turbo-propellers and other gas turbines",6989826129.3120165,1427391481.0722544,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.4404359461830335,0.999999996438682,0.979,4757.178028156556,1.25,5946.472535195695,84,4.0,1.7803903345724907,0.006897157761288436,0.999999999998364,0.99999999875,0.9521963783281809,0.31787102203255896,32.87,0.9999999999695772,0.7857142851530613,0.9953583864648138,0.7273943563361724,0.85499194347354,0.652199458579218,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 1.8%, LPI 4.0)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
USA,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",412797406706.0834,94694210020.4074,102061972.395,12.543448843234973,14.1,1.0,A+,0.99,False,0.42262420699635384,0.9999999887561456,0.9901,10963.745675354525,1.25,13704.682094193156,87,3.8,4.271428571428571,0.4073249740509158,0.02027222528723498,0.99999999875,0.9999999956933678,0.28841839779527684,14.1,0.42896257984700453,0.6428571423979591,0.9888640595903456,0.3658217966350268,0.7120010728341807,0.6517611762715739,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A+ grade) | low landing cost (tariff 4.3%, LPI 3.8)",Bahrain,Sea,"Standard sea freight; low unit value ($12.5/kg), non-perishable, long-haul route (10,964 km)"
Canada,8411,"Turbo-jets, turbo-propellers and other gas turbines",35947990144.800255,8047711660.619421,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.43206317189292615,0.999999996438682,0.979,10382.091972293898,1.25,12977.614965367373,84,4.0,0.26315985130111524,0.035471425309464844,0.999999999998364,0.99999999875,0.9521963783281809,0.3040262103381161,32.87,0.9999999999695772,0.7857142851530613,0.9993139221753806,0.3997068729332329,0.7746522869070319,0.6459075958118417,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 0.3%, LPI 4.0)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Germany,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",249902747260.0,62475686815.0,102061972.395,12.543448843234973,14.1,1.0,A+,0.99,False,0.4547598097999157,0.9999999887561456,0.9901,4255.625774891001,1.25,5319.532218613751,87,4.1,7.049183673469388,0.24658979834392125,0.02027222528723498,0.99999999875,0.9999999956933678,0.34155626513614107,14.1,0.42896257984700453,0.8571428565306121,0.9816222399574834,0.756613007021302,0.8818021475240331,0.6423613302823896,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A+ grade) | low landing cost (tariff 7.0%, LPI 4.1)",Bahrain,Sea,"Standard sea freight; low unit value ($12.5/kg), non-perishable, long-haul route (4,256 km)"
China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",285478784206.0453,62426952230.22325,102061972.395,12.543448843234973,14.1,1.0,A+,0.99,False,0.48883754169168336,0.9999999887561456,0.9901,6179.073146008318,1.25,7723.841432510398,87,3.7,12.212346938775509,0.2816942061184059,0.02027222528723498,0.99999999875,0.9999999956933678,0.3979055425283044,14.1,0.42896257984700453,0.5714285710204083,0.9681614791168693,0.6445598032284932,0.7484045423110139,0.6367627191832742,"low GCC penetration (high entry room) | rising prices (+14%/yr) | stable market (A+ grade) | low landing cost (tariff 12.2%, LPI 3.7)",Bahrain,Sea,"Standard sea freight; low unit value ($12.5/kg), non-perishable, long-haul route (6,179 km)"
China,8411,"Turbo-jets, turbo-propellers and other gas turbines",17704269402.98071,3919478785.3298087,277114485.535,611.3916335660742,32.87,1.0,A+,2.1,False,0.415529851523049,0.999999996438682,0.979,6179.073146008318,1.25,7723.841432510398,84,3.7,6.7227881040892195,0.017469560368298342,0.999999999998364,0.99999999875,0.9521963783281809,0.27668751717935064,32.87,0.9999999999695772,0.5714285710204083,0.9824731781271874,0.6445598032284932,0.7541292219151411,0.6355948005118898,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A+ grade) | low landing cost (tariff 6.7%, LPI 3.7)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
Rep. of Korea,8411,"Turbo-jets, turbo-propellers and other gas turbines",8400373207.224819,1718916842.0622869,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.6041335299371218,0.999999996438682,0.979,4820.457772966406,1.25,6025.572216208007,84,3.8,5.833959107806692,0.008289005309773263,0.999999999998364,0.8124999989843749,0.9521963783281809,0.5885533721573439,32.87,0.9999999999695772,0.6428571423979591,0.9847904231826665,0.7237079034351939,0.7998431449711507,0.6338433357503344,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | low landing cost (tariff 5.8%, LPI 3.8)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
France,8411,"Turbo-jets, turbo-propellers and other gas turbines",77654200521.78656,18324730611.572666,277114485.535,611.3916335660742,32.87,0.85,A,2.1,False,0.4642531157637194,0.999999996438682,0.979,4838.854311547858,1.25,6048.567889434822,84,3.9,1.7803903345724907,0.07662473921068957,0.999999999998364,0.8124999989843749,0.9521963783281809,0.35725393342058115,32.87,0.9999999999695772,0.7142857137755102,0.9953583864648138,0.7226361865181086,0.8288024010368812,0.6321412137617467,"low GCC penetration (high entry room) | rising prices (+33%/yr) | premium unit value ($611/kg) | stable market (A grade) | low landing cost (tariff 1.8%, LPI 3.9)",Bahrain,Air,High unit value ($611/kg > $50/kg threshold); air freight cost-competitive
